@AlejandroSotoRe
Fecha,Texto,Comentarios,Retweets,Guardados,Likes
"Aug 18, 2023 · 10:18 PM UTC","Cumpliendo con mi compromiso, he solicitado a la Comisión de Ética Parlamentaria que inicie indagaciones contra mi persona. Responderé con claridad y honestidad, en señal de respeto a la ciudadanía.",26,4,4,17
"Aug 16, 2023 · 7:29 PM UTC",He solicitado que NO se me asignen recursos económicos durante el desarrollo de la Semana de Representación del mes de agosto. Ratifico mi total compromiso de servicio a la nación. ¡Seguimos trabajando!,63,3,3,26
"Aug 16, 2023 · 4:42 PM UTC","Hemos instalado la Comisión Permanente del @congresoperu para el período anual de sesiones 2023-2024, y aprobado el número de miembros de la Subcomisión de Acusaciones Constitucionales. El Parlamento Nacional continúa trabajando incansablemente.",21,3,1,13
"Aug 16, 2023 · 3:06 AM UTC","El presidente del Congreso, @AlejandroSotoRe, asumió el compromiso de velar por los intereses y demandas que aquejan a los trabajadores del régimen CAS COVID-19.

🗞 goo.su/exxJ6u",31,5,4,13
"Aug 15, 2023 · 11:14 PM UTC",#Pronunciamiento,3,,,4
"Aug 14, 2023 · 6:16 PM UTC",#Comunicado 🚨,39,5,4,21
"Aug 11, 2023 · 10:19 PM UTC","#ConsensoPorElPerú I Cumpliendo con su política de puertas abiertas para todas las autoridades de las regiones del país, el presidente del Congreso, @AlejandroSotoRe, se reunió con los alcaldes del Cusco para atender sus demandas.

 🗞️goo.su/PRHeZ",55,6,4,16
"Aug 10, 2023 · 2:44 PM UTC","Consternado por el asesinato de Fernando Villavicencio, candidato presidencial en Ecuador. La delincuencia ha desbordado nuestra sociedad y no podemos permitirlo. Extiendo mis más sentidas condolencias a sus familiares y ciudadanos del país vecino.",40,12,4,38
"Aug 3, 2023 · 4:40 PM UTC","#CongresoInforma I El titular del Parlamento, @AlejandroSotoRe, el segundo vicepresidente, @waldemar_cerron, la congresista, @MaricarmenAlvaP, junto a la canciller Ana Cecilia Gervasi participaron en la ceremonia de colocación de ofrenda floral ante el monumento de José Faustino Sánchez Carrión, por el 202.° aniversario del Ministerio de Relaciones Exteriores y Día del Diplomático.",20,8,,20
"Aug 1, 2023 · 6:55 PM UTC","#CongresoInforma I El presidente del Congreso, @AlejandroSotoRe, junto a los vicepresidentes @NanoGuerra4, @waldemar_cerron y @RosselliAmuruz, recibieron al titular de la PCM, Alberto Otárola, y ministros, para dialogar sobre las propuestas legislativas presentadas por el Ejecutivo.",139,21,13,78
"Aug 1, 2023 · 1:30 AM UTC","El presidente del Congreso, @AlejandroSotoRe, junto a congresistas de diversas bancadas, participaron en la ceremonia de conmemoración del 189.° aniversario del natalicio del Gran Almirante del Perú, Miguel Grau Seminario. 

🗞 acortar.link/CaV7my",48,4,2,21
"Jul 29, 2023 · 9:56 PM UTC","El presidente del Congreso, @AlejandroSotoRe, junto a los vicepresidentes @waldemar_cerron y @RosselliAmuruz, participaron en la Gran Parada y Desfile Cívico Militar por el 202.º aniversario de la Independencia del Perú. 🇵🇪",68,18,1,88
"Jul 27, 2023 · 12:38 AM UTC","“Tenemos el reto de encontrar los consensos necesarios para contribuir al desarrollo de nuestro país"", presidente del Congreso, @AlejandroSotoRe. 

🗞️Más información: bit.ly/3qbyGF1",70,5,3,18
"Jul 26, 2023 · 5:59 PM UTC","#MesaDirectiva2023 I El congresista @AlejandroSotoRe juró como presidente del Congreso, para el Periodo Anual de Sesiones 2023-2024.",80,24,9,44
"Jul 26, 2023 · 5:25 PM UTC","En el Pleno del @congresoperu, cumpliendo con ejercer mi voto para la elección de la Mesa Directiva del Congreso para el Periodo Anual de Sesiones 2023-2024.",74,9,2,55
"Jul 25, 2023 · 2:51 PM UTC",🚨 Rechazo categóricamente las acusaciones falsas que circulan sobre mí. Siempre he actuado con honestidad a lo largo de mi carrera profesional. No permitiré que difamaciones sin fundamentos afecten mi integridad.,335,71,48,210
"Jun 1, 2023 · 5:27 PM UTC","Necesitamos representantes comprometidos y responsables que sirvan al pueblo en todo momento. Juntos, podemos construir una democracia más sólida. Presente el PL5221 que otorga licencia sin goce de haber al congresista máximo por 7 días durante el período anual de sesiones.",11,3,,16
"May 30, 2023 · 12:12 AM UTC","#SemanaDeRepresentación Llegué hasta la posta de salud del Centro Poblado Compone - Anta, para conocer su problemática y apoyarlos en lo que necesiten. Difícil ignorar la realidad que enfrentan nuestros centros de atención primaria. @congresoperu",6,,1,7
"May 14, 2023 · 1:54 PM UTC","¡Feliz Día de la Madre! 

Un fuerte abrazo a todas las madres del Perú y el mundo, hoy es un día especial para reconocer el amor y la dedicación que nuestras madres nos brindan día a día. Sin duda son nuestra fuerza, nuestro apoyo y nuestra guía en la vida.",9,2,,4
"May 8, 2023 · 6:23 PM UTC",#EmergenciaCusco He solicitado a la @pcmperu la incorporación de 9 comunidades campesinas de la provincia de Anta en el Plan Multisectorial ante Heladas y Friaje 2022-2024. Me uno al arduo trabajo de las autoridades locales para proteger la vida de la población. ¡No están solos!,7,3,,14
"Apr 27, 2023 · 12:20 AM UTC","Han pasado 14 días desde que aprobamos Ley que protege las 5 millas peruanas y la pesca artesanal, sin embargo, aún no ha sido promulgada lo cual genera un perjuicio en los pescadores. He solicitado al presidente del @congresoperu su pronta promulgación.",5,9,3,29
"Apr 24, 2023 · 9:44 PM UTC","Hoy en la Comisión de Defensa Nacional sustenté el PL 3649, que modifica el DL 1149, Ley de la Carrera y Situación del Personal de la @PoliciaPeru, por el que se amplía voluntariamente el tiempo de servicios, con la finalidad de combatir el déficit de personal policial en el país",,1,,5
"Apr 14, 2023 · 6:56 PM UTC","El ministro informó que un equipo técnico del sector Interior visitará el terreno que la comunidad de Ivochote está dispuesta a ceder para hacer realidad la nueva edificación, con la finalidad de garantizar la adecuada prestación y acceso a los servicios policiales.",1,1,,10
"Apr 14, 2023 · 6:56 PM UTC","El ministro Vicente Romero se reunió con el congresista y vocero de la bancada Alianza para el Progreso, @AlejandroSotoRe, para abordar temas relacionados a la seguridad ciudadana de la región #Cusco, como la creación de una comisaría en Ivochote, en el distrito de Echarate.",3,2,1,13
"Apr 3, 2023 · 7:13 PM UTC","Sostuve una importante reunión con la ministra de Relaciones Exteriores, Ana Cecilia Gervasi, con la finalidad de trabajar de manera conjunta acciones en favor de la imagen del Perú en el exterior, labor fundamental para la reactivación económica y del turismo de la Región Cusco.",1,,,10
"Mar 29, 2023 · 5:14 PM UTC","Como congresista representante de Cusco ratifico mi compromiso de siempre defender la democracia del país. 

#ForoMadridLima",3,,2,8
"Mar 29, 2023 · 5:14 PM UTC","Hoy participé como ponente del II Encuentro Regional de Foro Madrid, recordando que el fallido golpe de Estado no partió el 7 de diciembre, sino que inició con el ex premier, el mensajero del odio Aníbal Torres y su mensaje de división en el sur, centro y norte del Perú.",19,6,3,24
"Mar 23, 2023 · 1:48 AM UTC",Aprobamos acusar constitucionalmente a Betsy Chávez Chino por los presuntos delitos de rebelión y conspiración. Ella deberá responder ante la justicia por el intento de golpe de Estado.,4,6,1,23
"Mar 14, 2023 · 5:34 PM UTC","La Comisión de Constitución aprobó el dictamen que incluye mi PL 3901, que impide de postular a cargos de elección popular a condenados por terrorismo, tráfico de drogas, violación sexual, homicidio, etc. Impedimento es aplicable hasta 10 años después de haber sido rehabilitadas.",20,22,3,74
"Mar 3, 2023 · 11:34 PM UTC","¡Nueva Ley APROBADA!
Con 111 votos a favor el proyecto de mi autoría que propone incorporar al régimen laboral 728, a los trabajadores de EsSalud que se encuentran bajo el régimen del CAS con contrato a plazo indeterminado, será realidad. Hoy  decimos ¡CAS nunca más!.",3,1,1,11
"Feb 14, 2023 · 7:39 PM UTC","A fin de articular el trabajo conjunto para el cierre de brechas en #Cusco, el ministro Julio Demartini y el congresista @AlejandroSotoRe acordaron fortalecer las acciones del Midis en esta región, a través de los programas sociales, en beneficio de la población vulnerable.",2,1,,5
"Feb 3, 2023 · 1:51 AM UTC","Coherente con mi palabra y cumpliendo el compromiso con mi región Cusco, voté a favor del dictamen que proponía el #AdelantoDeElecciones en julio del 2023 y el referéndum de convocatoria a una asamblea constituyente.",37,5,11,16
"Feb 1, 2023 · 10:57 PM UTC","Una vez más la @BancadaAPP votó a favor de adelantar las elecciones. Lamento que otras bancadas que dicen querer irse, voten en contra del texto sustitutorio. Aquí les dejo la votación para que juzguen ustedes mismos.",10,4,,24
"Feb 1, 2023 · 4:13 PM UTC",Hoy en @RPPNoticias ratifique la postura de APP de votar a favor del #AdelantoDeElecciones2023 ¡Nos vamos todos!,1,,,8
"Jan 30, 2023 · 5:52 PM UTC",La @BancadaAPP votó a favor de la reconsideración y votará a favor de que las Elecciones Generales sean el 2023. ¡Hechos y no palabras! ¡Nos vamos todos!,7,2,1,13
"Jan 23, 2023 · 5:12 PM UTC","Se comunica a la opinión pública, autoridades nacionales, regionales, distritales y población en general lo siguiente:",5,1,1,10
"Jan 10, 2023 · 10:52 PM UTC",Otorgaremos el #VotoDeConfianza para garantizar la gobernabilidad del país pero deberán demostrarnos que son capaces de cumplir con todo lo ofrecido.,5,,,4
"Jan 10, 2023 · 10:52 PM UTC","Como representante de Cusco reclamé al premier @AlbertoOtarolaP la ausencia de proyectos emblemáticos para el sur del país. El hospital Antonio Lorena, el aeropuerto de Chinchero y la urgente derogatoria del Decreto Supremo 043-2022-EF deberán ser atendidos por este gobierno.",16,1,,14
"Dec 19, 2022 · 5:25 PM UTC",Mañana se debate en el Pleno el pedido de la @BancadaAPP para reconsiderar el texto sustitutorio que propone el ADELANTO DE ELECCIONES. Pido a mis colegas parlamentarios no aferrarse al cargo y ser consecuentes con su palabra. Votaré nuevamente a favor del #AdelantoDeElecciones.,14,7,2,33
"Dec 7, 2022 · 8:58 PM UTC","Hoy defendí a mi país y a la democracia, voté a favor de la vacancia de Pedro Castillo. No podíamos permitir ni un minuto más que un golpista maneje los destinos del Perú.",16,6,,26
"Dec 5, 2022 · 10:59 PM UTC",🏫👨‍🏫 #SemanaDeRepresentación llegué hasta la comunidad de Huayllaccocha con la finalidad de inaugurar el servicio gratuito de internet para los cientos de niños de la institución educativa local. Continuaré cumpliendo mi compromiso de gestionar #InternetParaTodos,5,2,1,11
"Dec 5, 2022 · 2:08 AM UTC","Quiero felicitar al comando técnico, jugadores e hinchas del Club Deportivo Garcilaso del Cusco al consagrase campeón de la Copa Perú 2022 y lograr su anhelado ascenso a la #Liga1. Cusco en lo más alto del fútbol peruano y haciendo historia con 3 equipos en la liga profesional 👏🏼",4,,,15
"Dec 3, 2022 · 12:29 PM UTC","#SemanaDeRepresentación Recibí un reconocimiento por ser autor de la Ley 1443 que propone modificar la Ley 28529, Ley del Guía de Turismo. Mi labor no termina hoy, este importante reconocimiento me compromete a seguir trabajando por los más de 10 mil guías de turismo del país.",5,4,,17
"Dec 1, 2022 · 2:23 AM UTC","#LeyDePresupuesto2023 APROBADA. Me ratifico en decir que aún prima el centralismo, pero seguiremos trabajando desde el @congresoperu en el cierre de brechas. Legislaré siempre pensando en el país y en mi región Cusco.",4,1,,12
"Nov 29, 2022 · 8:26 PM UTC",Un gobierno incapaz moralmente no puede seguir en el poder. El único camino para defender nuestra democracia y al país es la #VacanciaPresidencialYa.,272,127,11,617
"Nov 26, 2022 · 4:17 PM UTC","La verdad siempre sale a la luz, la uña y la mugre se juntan en este nuevo gabinete. Desde palacio premian la traición con un ministerio. Para un presidente golpista y corrupto esto es lo más normal.",9,6,,28
"Nov 25, 2022 · 12:46 AM UTC","Saludo la decisión de la Mesa Directiva de rechazar de plano la #CuestiónDeConfianza inconstitucional presentada por el premier ""mensajero del odio"". Seguiremos unidos en defensa de la democracia y del @congresoperu 🇵🇪",10,26,1,199
"Nov 23, 2022 · 6:51 PM UTC","A mi nadie me pone la agenda. Yo soy opositor de este gobierno incapaz. Nada ni nadie me hará claudicar así que dejemos las suspicacias y malas intenciones. Siempre de pie, nunca de rodillas @PolloFarsantePe",87,10,8,65
"Nov 22, 2022 · 3:35 PM UTC","Grupo de Alto Nivel de la #OEAenPerú continúa el diálogo con los sectores del país para conocer sobre la situación política en 🇵🇪. 

Los ministros de 🇧🇿🇨🇷🇪🇨🇬🇹🇵🇾 y viceministros de 🇦🇷 y 🇨🇴 se reunieron con miembros de la @BancadaAPP",25,20,1,44
"Nov 22, 2022 · 3:14 PM UTC",#BancadaAPP se reunió con el Grupo de Alto Nivel de la #OEAenPerú para hacerles conocer nuestra posición frente a la crisis política. Participaron @AlejandroSotoRe @LadyCamones y @salhuanacavides,3,8,,15
"Nov 19, 2022 · 2:42 AM UTC","Mis más sentidas condolencias a los familiares de Ángel Torres y Nicolás Santa Gadea, 2 valerosos bomberos que hoy perdieron la vida en el fatal accidente del aeropuerto Jorge Chávez. Mi mayor reconocimiento, gratitud y apoyo a nuestros héroes de rojo.",,,,6
"Nov 16, 2022 · 3:15 PM UTC","☝️ El congresista Alejandro Soto calificó de ""lamentable"" la presentación del procurador del Congreso, Yuri García, al defender los intereses del Parlamento ante el Tribunal Constitucional.
rpp.pe/politica/congreso/voc…",14,6,,14
