@AlejandroToledo
Fecha,Texto,Comentarios,Retweets,Guardados,Likes
"Aug 18, 2023 · 11:12 PM UTC","🇵🇪 El irregular accionar de los fiscales lavajato del Perú.

vm.tiktok.com/ZM2oSbQPx/",2,1,,1
"Aug 14, 2023 · 6:35 AM UTC",🇵🇪 Los jueces peruanos no deben impartir justicia en base a la presión mediática o política. La justicia es una sola.,9,1,,5
"Aug 12, 2023 · 4:47 PM UTC","Fuimos pocos los q advertimos desde antes de firma de acuerdo CE con ODEBRECHT, q NO levantaran medidas q HABÍAMOS logrado(impedimento para vender sus bienes, embargos y bloqueos de cuentas) xq así tendríamos ventaja en negociación y asegurada su memoria expreso.com.pe/en-portada/fi…",45,214,8,479
"Aug 7, 2023 · 9:40 PM UTC","🇵🇪  EN EL PERÚ SE HA PERDIDO LA PRESUNCIÓN DE LA INOCENCIA.

Michael Reid*, columnista de la Prestigiosa Revista Europea ""The Economist"", revela la IRREGULAR forma de hacer justicia en el Perú.

¡SOLO HAY DICHOS, NO HAY PRUEBAS!",3,2,,2
"Aug 4, 2023 · 2:26 AM UTC","🇵🇪 FISCAL DOMINGO PEREZ COMETE FALTA AL AFIRMAR QUE ALEJANDRO TOLEDO ES CULPABLE, SIN QUE ANTES EXISTA UNA SENTENCIA DE CULPABILIDAD.

vm.tiktok.com/ZM2ncw9UG/",1,,1,
"Aug 3, 2023 · 5:39 PM UTC","🇵🇪🇪🇸 Jose Maria Asencio Mellado, Catedrático de la Universidad de Alicante (España) ofreció una conferencia magistral sobre el Irregular Procedimiento de Colaboración Eficaz y la Prisión Preventiva en el Perú.

vm.tiktok.com/ZM2nqyxWa/",2,1,,1
"Jul 24, 2023 · 3:46 AM UTC","🇵🇪 ¡No a la Politización de la Justicia!

vm.tiktok.com/ZM2bvRGfK/

fb.watch/lZD3AMbbOz/?mibexti…",7,,,
"Jul 23, 2023 · 1:28 AM UTC",Nadie puede negarlo!!!,12,1,1,7
"Jul 21, 2023 · 5:26 PM UTC","🇵🇪 ESTÁ ES LA PRUEBA MAS PALPABLE DE LA PERSECUCIÓN POLÍTICA EN CONTRA DE ALEJANDRO TOLEDO.

vm.tiktok.com/ZM2qpqGVd/",3,,,2
"Jul 16, 2023 · 9:10 AM UTC",Replying to @AlejandroToledo,,1,,2
"Jul 16, 2023 · 4:52 AM UTC","🇵🇪 ALEJANDRO TOLEDO NUNCA TUVO DESBALANCE PATRIMONIAL.

Maiman y Odebrecht hicieron negocios oscuros a espaldas de Alejandro Toledo, cuando fueron descubiertos responsabilizaron de todo a Toledo.",2,2,1,2
"Jul 8, 2023 · 11:42 PM UTC","🇵🇪 ¡TOLEDO CREÓ EL SIS!
Gracias al SIS se pudieron salvar miles de vidas de compatriotas Peruanos frente a la Pandemia del Coronavirus, ahora, sirve de igual forma para enfrentar la Epidemia del Dengue en todo del País.",5,1,,8
"Jul 6, 2023 · 11:27 PM UTC","🇵🇪 EL ÚNICO PRESIDENTE QUE DOBLÓ EL SUELDO A LOS MAESTROS, FUE, ALEJANDRO TOLEDO.

vm.tiktok.com/ZM2HHX51H/fb.w…

fb.watch/lD0MrlSOe1/?mibexti…",,1,,6
"Jul 4, 2023 · 7:38 PM UTC","🇵🇪 LO REAL ES QUE SOLO HAY DICHOS, NO HAY PRUEBAS*

Los fiscales quieren sentenciar al expresidente @AlejandroToledo sólo con dichos.

vm.tiktok.com/ZM2mToPAQ/",,,,1
"Jul 3, 2023 · 11:29 PM UTC","🇵🇪 LOS FISCALES PERUANOS CAMBIARON DE VERSIÓN EN SU ACUSACIÓN CONTRA ALEJANDRO TOLEDO

Está irregular acción, evidenciaría que los Fiscales y el Colaborador Eficaz Jossep Maiman se habrían puesto de acuerdo con la finalidad de sentenciar al ex presidente 
@AlejandroToledo",,,,1
"Jun 28, 2023 · 12:14 AM UTC",,,1,1,2
"Jun 13, 2023 · 7:46 PM UTC","🇵🇪 EL DR ALEJANDRO TOLEDO ACABO SU MANDATO Y LIDERÓ EL CENTRO GLOBAL POR LA DEMOCRACIA

Convocó a más de 15 expresidentes para elaborar la Gran Agenda Social para Combatir la Pobreza y la Exclusión Social en Latinoamerica.

instagram.com/reel/CtazCL5Lw…

vm.tiktok.com/ZM2k4qNry/",1,,3,2
"Jun 8, 2023 · 5:16 PM UTC",,1,,1,1
