@PedroCastilloTe
Fecha,Texto,Comentarios,Retweets,Guardados,Likes
"Dec 28, 2022 · 7:28 PM UTC","Jamás he cometido delito de rebelión pues nunca me levanté en armas, ni he dicho a otros que lo hagan. Debo decir que quien sí se levantó en armas es este Gobierno tiránico que ha acabado con la vida mis 28 hermanos peruanos en Andahuaylas, Ayacucho y otros lugares. (1/7)","4,570","5,486",400,"11,702"
"Aug 8, 2023 · 7:26 PM UTC","El Congreso reconoce que para vacar a Castillo “no se siguió el art. 89-A”, “necesitaba una respuesta INMEDIATA”. 
El art.89-A.c dispone que la vacancia SÍ puede ser INMEDIATA, respetando el debido proceso, lo que no se hizo. El Congreso dio un golpe de Estado, lo demás es cuento",757,805,105,"1,956"
"Aug 2, 2023 · 6:23 PM UTC","El ingreso y ejercicio de tropas militares de #EEUU en #Perú es una acción de provocación intervencionista que pone en peligro la paz e integridad de América Latina, especialmente de #Bolivia que está en la mira de ataque del Comando Sur que públicamente reconoció su interés sobre el litio.

Ahora se revela que el plan del gobierno de #EEUU (que apoyó el golpe de Estado y al gobierno de facto) es descabezar al movimiento indígena y popular con juicios políticos inventados para explotar recursos naturales estratégicos. 

El gobierno ilegítimo de #Perú se presta peligrosamente a este afán geopolítico con tal de usurpar y aprovechar el poder que legítima y legalmente fue confiado en urnas al hermano @PedroCastilloTe, prisionero político de ese plan imperialista.","1,079","1,317",90,"2,088"
"Jul 31, 2023 · 3:51 PM UTC","""Cuando @PedroCastilloTe dice: ‘leí lo que me pide el pueblo’ y uno ve un congreso (aliado de Boluarte) que da vergüenza, que negocia a sus espaldas, uno concluye que Castillo tenía razón, que el sistema político judicial no funciona transparentemente"" #PERU 

- @GuidoCroxatto",34,114,4,202
"Jul 31, 2023 · 2:08 PM UTC","#ENTREVISTA | Guido Croxatto: ""En Perú es más grave leer un discurso que asesinar a 70 personas""

El abogado Guido Croxatto coordina la defensa del presidente Pedro Castillo (@PedroCastilloTe) en los fueros nacionales e internacionales. larepublica.pe/politica/2023…",41,65,5,119
"Jul 28, 2023 · 11:16 AM UTC","Saludamos al hermano pueblo de #Perú en este #28DeJulio, fecha histórica para conmemorar los 202 años de su independencia del colonialismo español. Acompañamos a nuestras hermanas y hermanos peruanos que en la costa, sierra y selva del país se unen para reivindicar su libertad y soberanía. 

Junto a los pueblos libres del Abya Yala pedimos que la demanda de dignidad y justicia del #Perú profundo sea escuchada por la comunidad internacional y que el gobierno ilegítimo que usurpa la presidencia democráticamente asignada al hermano @PedroCastilloTe, responda por las graves violaciones de Derechos Humanos de nuestros hermanos indígenas masacrados por pedir respeto a su voto democrático. 

Ratificamos nuestra solidaridad humanitaria con el hermano @PedroCastilloTe, legítimo presidente peruano, destituido ilegal e inconstitucionalmente por un Congreso que se convirtió en instrumento de la conspiración de la derecha sometida a las órdenes del gobierno de #EEUU y las empresas transnacionales. 

¡Fuerza hermano @PedroCastilloTe! La justicia y la verdad están de tu lado. El #Perú profundo ha despertado.",813,750,40,"1,900"
"Jul 23, 2023 · 12:56 AM UTC","Nos reunimos con el hermano abogado argentino, Guido Croxatto. Acompañamos la defensa que hace del hermano Pedro Castillo, de los DDHH y la democracia en América, para avanzar de manera colectiva en la construcción de una sociedad con justicia social en favor de nuestros pueblos.",93,213,7,628
"Jul 21, 2023 · 12:50 PM UTC","Saludamos la actitud pacífica, firme y democrática del digno pueblo peruano que con humildad y dignidad exclama ante el mundo su demanda de justicia por la masacre de hermanos indígenas, reforma total de la Constitución y reposición de su gobierno legal y legítimamente elegido en las urnas.

Hermano @PedroCastilloTe no estás sólo. El pueblo del #Perú profundo que ya empezó el proceso de reivindicación de su libertad y soberanía continuará fuerte e incontenible su marcha hacia la recuperación de la democracia.",730,549,31,"1,272"
"Jul 20, 2023 · 2:28 AM UTC","Anibal Torres, premier durante el gobierno de Pedro Castillo, también se hizo presente en la jornada de movilización acompañando las delegaciones regionales. 
#TomaDeLima nitter.net/i/web/status/168…",72,164,3,470
"Jul 20, 2023 · 2:16 PM UTC","Creatividad popular: @PedroCastilloTe desmembrado como Tupac Amaru. Identificados cada uno de los responsables: Lawfare Judicial, prensa basura, confiep (mineras, club de la construcción, manipuladores del dolar) y congreso golpista. #PERU",31,71,6,138
