@Vero_Mendoza_F
Fecha,Texto,Comentarios,Retweets,Guardados,Likes
"Jul 17, 2023 · 1:36 AM UTC","Nos vemos el #19J para defender la vida, la paz con justicia, la democracia verdadera.

Es hora de defender nuestra Patria. 
Si sumamos fuerzas, sí podemos.
🇵🇪

fb.watch/lQl6hxA_T6/?mibexti…",156,31,7,88
"Aug 18, 2023 · 11:49 PM UTC","Una prueba más de que la absoluta mayoría de las detenciones e investigaciones en contexto de protesta social se están haciendo solo para estigmatizar y amedrentar a ciudadanos inocentes.

¡Basta de criminalización!
La protesta es un derecho.",319,125,18,365
"Aug 18, 2023 · 10:20 PM UTC","🍃Si no frenamos la depredación de la Amazonía ahora, irá dejando de producir agua y oxígeno

Por eso el pueblo ecuatoriano le da una enorme lección al mundo planteando la posibilidad de dejar el petróleo del Parque Nacional Yasuní bajo tierra para cuidar la vida💧🌎

#SiAlYasuni",2,10,,29
"Aug 18, 2023 · 12:37 AM UTC","Una buena noticia!!
Se hizo justicia!!
Declaran nula la sentencia que declaraba culpable al defensor ambiental Sergio Huamaní de #Espinar por el delito de difamación agravada interpuesta por #Glencore Antapaccay.
Vía @dhsfcusco",,15,1,47
"Aug 17, 2023 · 10:46 PM UTC","📣🎙En una nueva edición de #MesaPolítica, @MariteBustamant, exregidora de la Municipalidad de Lima,  analizará las promesas incumplidas del alcalde de Lima. ¡No te pierdas esta interesante conversación!

📌 Viernes 18 de Agosto
⏰ 8:00 A.M.
🔴 EN VIVO por las redes de #NTV",3,12,,31
"Aug 18, 2023 · 1:12 AM UTC",Replying to @Vero_Mendoza_F,3,3,,8
"Aug 18, 2023 · 12:30 AM UTC","Este 20/08 el pueblo ecuatoriano podrá decidir con su voto sobre la explotación de petróleo en el Parque Nacional Yasuní, uno de los lugares más biodiversos del planeta. 

Una gran lección de democracia, responsabilidad y solidaridad🌱

Más info aquí : cuencasagradas.org/",67,18,,68
"Aug 16, 2023 · 3:56 PM UTC","38 años de los asesinatos y desaparición en Accomarca, 7 años de sentencia y sigue “no habido” el general Wilfredo Mori Orzo, jefe del comando de Ayacucho, se vacunó contra COVID en Surco hace más de un año, pero nadie lo busca. Estado no cumple con víctimas si no paga reparación",,148,,248
"Aug 16, 2023 · 9:54 PM UTC","Fiscal Cynthia Gamarra del EE d la  @FiscaliaPeru amplía invest. preliminar contra 23 efectivos d la @PoliciaPeru por los delitos de Asesinato en agravio de REMO CANDIA y ROSALINO FLOREZ, Lesiones en agravio de EDGARD QUISPE P. y otros, por las protestas contra #DinaBoluarte",12,100,7,157
"Aug 16, 2023 · 3:42 PM UTC","🚨#LaHoraVerde
El empresariado minero y el Ejecutivo parecen haber puesto al SENACE bajo la mira ¿A que responde el interés de adscribir el SENACE a la PCM? ¿Se busca debilitar la institucionalidad ambiental? 
⏩No te pierdas este diálogo a través de las redes de #CooperAcción",1,29,2,43
